pos,neg
able,abnormally
absorb,abrupt
absorbed,abundant
absorbing,adverse
acceptable,adversely
achievement,aggravate
adequately,aggravated
alleviated,aggravating
alleviating,aggravation
beneficial,ailing
benefit,alarming
benefiting,anxiety
benign,arrears
better,bad
brighter,burdened
broaden,challenge
buoyancy,challenges
calm,challenging
calmed,closure
calming,clouded
comfortable,compromised
confident,concern
confined,concerns
contained,confronted
effective,confronting
efficient,constrain
enabled,constrained
enabling,constraining
enhance,contagion
enhanced,contracted
enhancing,contracting
enjoy,contraction
excellent,corrections
favorable,costly
favorably,damaging
favourable,danger
favourably,dangerous
gain,declines
gained,deep
good,deeply
grew,defaults
grow,deficient
healthy,deficits
improve,delays
improved,delinquencies
improvement,dented
improvements,depress
improves,depressed
improving,depressing
mitigate,destabilising
mitigated,destabilizing
mitigates,deteriorate
mitigating,deteriorated
mitigation,deteriorating
opportunity,deterioration
optimism,deteriorations
outperformed,detrimental
positive,difficult
positively,difficulties
preventing,difficulty
profitable,disappointing
rallied,discouraging
reassuring,disorderly
rebound,disrupt
rebounded,disrupted
rebounding,disruption
recouped,disruptions
recover,disruptive
recovered,distortions
recovering,distress
recovery,distressed
regained,distrust
reopening,disturbance
resilient,disturbances
resolve,doubts
sheltered,downgrade
smooth,downgraded
smoothly,downgrades
solid,downgrading
sound,downside
sounder,downswing
stabilise,downturn
stabilised,downward
stabilising,drag
stabilize,drastic
stabilized,dropped
stabilizing,drying
stable,endanger
strengthened,erode
succeeded,eroded
success,eroding
successful,erosion
successfully,escalate
upgraded,escalated
upswing,escalating
withstanding,escalation
,exacerbate
,exacerbated
,exacerbating
,excessive
,exhausted
,expose
,exposed
,exposes
,exposing
,fail
,failed
,failing
,fails
,failure
,failures
,faltering
,fear
,fears
,forced
,fragile
,fragilities
,fragility
,gloomy
,hamper
,hampered
,hampering
,headwinds
,hinder
,hindered
,hindering
,hinders
,hurt
,illiquid
,illiquidity
,imbalance
,imbalances
,impair
,impaired
,impairing
,impairments
,impede
,impeded
,impediments
,inability
,inadequate
,ineffective
,inefficient
,insolvencies
,insolvency
,insolvent
,instability
,insufficient
,insufficiently
,jeopardise
,jeopardised
,jeopardising
,jeopardize
,lackluster
,lacklustre
,lagged
,lose
,losing
,losses
,lost
,misalignments
,misconduct
,mispricing
,negative
,negatively
,nervousness
,nonperforming
,overcapacity
,overheated
,overheating
,overindebted
,overvalued
,pessimism
,pessimistic
,plummeted
,plummeting
,plunge
,plunged
,poor
,poorer
,poorly
,poses
,posing
,problem
,problematic
,problems
,prolonged
,protectionism
,protracted
,questions
,recession
,repercussions
,restructure
,resurfaced
,riskier
,setback
,setbacks
,severely
,severity
,shaken
,shortage
,shortages
,shortfall
,shortfalls
,shrank
,shrink
,shrinking
,shrunk
,slid
,slide
,sliding
,slipped
,slowdown
,slowdowns
,sluggish
,sluggishness
,slump
,slumped
,slumps
,spill
,spilled
,spilling
,spiral
,squeeze
,squeezed
,stagnant
,stagnate
,stagnated
,stagnating
,stagnation
,strain
,strained
,strains
,stresses
,struggle
,struggling
,suffer
,suffered
,suffering
,susceptibility
,susceptible
,tense
,tension
,tepid
,threat
,threaten
,threatened
,threatening
,threats
,tough
,troubled
,tumbling
,turbulence
,turbulences
,turbulent
,turmoil
,unable
,undermine
,undermined
,undermining
,underperformance
,underperformed
,undesirable
,unease
,unemployed
,unexpectedly
,unfavorable
,unfavourable
,unresolved
,unrest
,unstable
,unsustainable
,volatile
,volatility
,vulnerabilities
,vulnerability
,vulnerable
,weaken
,weakened
,weakening
,weaker
,weakest
,weakness
,weaknesses
,worries
,worrisome
,worrying
,worse
,worsen
,worsened
,worsening
,worst
,writedowns
